id,delivered_time,brand,outlet,sku,order_quantity
118,2021-04-16T12:16:26Z,B,YK28,581,1
119,2021-04-16T13:58:49Z,C,YK28,994,4
120,2021-04-16T13:58:49Z,C,YK28,995,3
121,2021-04-16T14:18:46Z,C,YK28,994,1
122,2021-04-16T14:18:46Z,C,YK28,995,2
123,2021-04-16T14:18:46Z,C,YK28,997,1
124,2021-04-16T14:18:46Z,C,YK28,998,1
125,2021-04-16T14:18:46Z,C,YK28,899,1
126,2021-04-16T14:38:40Z,C,YK28,994,3
127,2021-04-16T14:38:40Z,C,YK28,995,3
128,2021-04-16T14:49:49Z,C,YK28,996,1
129,2021-04-16T14:49:49Z,C,YK28,997,2
130,2021-04-16T14:49:49Z,C,YK28,998,2
131,2021-04-16T14:49:49Z,C,YK28,000,1
132,2021-04-16T15:02:10Z,C,YK28,994,0
133,2021-04-16T15:02:10Z,C,YK28,995,0
134,2021-04-16T15:17:19Z,C,YK28,994,6
135,2021-04-16T15:17:19Z,C,YK28,995,6
136,2021-04-16T15:21:29Z,C,YK28,994,2
137,2021-04-16T15:21:29Z,C,YK28,996,1
138,2021-04-16T15:21:29Z,C,YK28,001,1
139,2021-04-16T15:21:29Z,C,YK28,403,2
140,2021-04-16T15:32:28Z,C,YK28,994,1
141,2021-04-16T15:32:28Z,C,YK28,403,2
142,2021-04-16T17:11:54Z,C,YK28,995,1
143,2021-04-16T17:11:54Z,C,YK28,000,1
144,2021-04-16T18:03:10Z,C,YK28,994,2
145,2021-04-16T18:03:10Z,C,YK28,996,2
146,2021-04-16T18:03:10Z,C,YK28,999,1
147,2021-04-16T18:03:10Z,C,YK28,000,1
148,2021-04-16T18:03:10Z,C,YK28,001,1
149,2021-04-16T18:03:10Z,C,YK28,403,1
150,2021-04-16T18:07:17Z,C,YK28,995,3
151,2021-04-16T18:07:17Z,C,YK28,403,2
152,2021-04-16T18:36:55Z,A,YK28,217,1
153,2021-04-16T18:48:04Z,A,YK28,217,3
154,2021-04-16T20:10:05Z,C,YK28,994,3
155,2021-04-16T20:10:05Z,C,YK28,995,3
156,2021-04-17T09:31:11Z,C,YK28,995,1
157,2021-04-17T09:31:11Z,C,YK28,996,1
158,2021-04-17T09:31:11Z,C,YK28,998,1
159,2021-04-17T09:31:11Z,C,YK28,999,1
160,2021-04-17T09:31:11Z,C,YK28,000,1
161,2021-04-17T09:31:11Z,C,YK28,403,1
162,2021-04-17T09:42:53Z,C,YK28,994,0
163,2021-04-17T09:42:53Z,C,YK28,995,0
164,2021-04-17T10:49:36Z,C,YK28,994,0
165,2021-04-17T10:49:36Z,C,YK28,994,0
166,2021-04-17T10:49:36Z,C,YK28,995,0
167,2021-04-17T10:49:36Z,C,YK28,995,0
168,2021-04-17T12:12:29Z,B,YK28,581,1
169,2021-04-17T13:12:18Z,C,YK28,994,3
170,2021-04-17T13:12:18Z,C,YK28,995,3
171,2021-04-17T13:13:31Z,C,YK28,994,4
172,2021-04-17T13:13:31Z,C,YK28,994,5
173,2021-04-17T13:13:31Z,C,YK28,995,1
174,2021-04-17T13:13:31Z,C,YK28,995,2
175,2021-04-17T14:54:32Z,C,YK28,996,4
176,2021-04-17T14:54:32Z,C,YK28,998,4
177,2021-04-17T14:54:32Z,C,YK28,999,2
178,2021-04-17T14:54:32Z,C,YK28,403,2
179,2021-04-17T15:00:57Z,C,YK28,996,1
180,2021-04-17T15:00:57Z,C,YK28,997,1
181,2021-04-17T15:00:57Z,C,YK28,998,1
182,2021-04-17T15:00:57Z,C,YK28,999,1
183,2021-04-17T16:25:55Z,C,YK28,998,2
184,2021-04-17T16:25:55Z,C,YK28,999,2
185,2021-04-17T16:25:55Z,C,YK28,001,1
186,2021-04-17T16:25:55Z,C,YK28,403,1
187,2021-04-17T19:40:30Z,C,YK28,994,3
188,2021-04-17T19:40:30Z,C,YK28,995,3
189,2021-04-18T11:26:05Z,B,YK28,581,1
190,2021-04-18T12:10:29Z,C,YK28,994,6
191,2021-04-18T12:47:10Z,C,YK28,994,1
192,2021-04-18T12:47:10Z,C,YK28,995,3
193,2021-04-18T12:47:10Z,C,YK28,996,2
194,2021-04-18T12:58:39Z,C,YK28,995,6
195,2021-04-18T12:58:39Z,C,YK28,998,2
196,2021-04-18T12:58:39Z,C,YK28,999,2
197,2021-04-18T12:58:39Z,C,YK28,001,2
